"source_doc","article","local_image","annotation_notes","final_sharepoint_url"
"TipSheets/TipSheets/Cornerstone Tip Sheet - Create Material.docx","docs/content-create-material.md","image-upload-staging/create-material/step-02.png","URL and Upload Material radio controls marked with subtle warm-coral halos; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Create Material.docx","docs/content-create-material.md","image-upload-staging/create-material/step-03.png","Choose File, Upload, and Save controls marked with thin warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-01.png","Question Bank control marked with warm-coral focus ring; cropped from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-02.png","Categories tab and Create New Category control marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-03.png","Category Title and Save controls marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-04.png","Create New Question control marked with warm-coral focus ring; cropped from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-05.png","Question text, response type, response choice, and answer controls marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-06.png","Category and Submit controls marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-07.png","Test Engine control marked with warm-coral focus ring; cropped from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-08.png","Create New Test control marked with warm-coral focus ring; cropped from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-09.png","Test settings cropped for readability and marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-10.png","Add Question control marked with warm-coral focus ring; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx","docs/content-create-test.md","image-upload-staging/create-test/step-11.png","Add All Questions and Done controls marked with warm-coral focus rings; author name redacted; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-01.png","Create Assignment control marked with warm-coral focus ring; created-by names redacted; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-02.png","Title, description, Select Training, and Next controls marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-03.png","Assignment workflow and corrected email checkbox controls marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-04.png","Custom Emails setting and Set Custom Emails control marked with warm-coral focus rings; cropped from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-05.png","Training is Due row, Active checkbox, and Save control marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-06.png","Training Due Date section cropped and marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-07.png","User criteria, Assign New Occurrence, Generate Initial User List, and Next controls marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-08.png","Generate Initial User List and Next controls marked with warm-coral focus rings in a close crop from embedded Word screenshot.",""
